manufacturer_keywords,product_keywords,Unique Identifier 
delphi bioscience asia  ,pocroc antigen rapid  ,505
denka ,quicknavi 19 ag,537
denka ,quicknavi flu19 ag,538
denka seiken ,quicknavi  flu19 ag,536
detect ,detect  ,234
detectachem ,mobiledetect bio bcc19  ,420
dia sure immuno diagnostics llpdelhi india,dsi  ag rapid  ,1123
dia sure immunodiagnostic llp,dsi ag rapid ,248
diabetomics ,covab ab ,141
diacarta ,quantivirus  ,"524,525,526"
diacarta ,quantivirus mulitplex  ,"521,522,523"
diagnocure india,xamin  ag rapid  human nasal swab,758
diagnocure india solan hp,xamin  ag rapid  device,1124
diagnocure solan hp india,xamin  rapid device ,"1168,1183"
diagnostic enterprises parwanoo himachal pradesh india, antigen  card,189
dialab gmbh,diaquick  ag ,244
diapro diagnostic bioprobes srl,sara instrument,821
diapro diagnostic bioprobes srl italy, igg elisa,1200
diapro diagnostic bioprobes srlvia carducci 27  sesto san giovanni mi  italy, igg,1075
diapro diagnostic bioprobes srlvia carducci 27  sesto san giovanni mi  italy, igm,1076
diasolex solutions llp karnataka india,dx  ,1303
diasorin,liaison ag,379
diasorin molecular,simplexa  direct,672
diasorin spa,liaison ag,378
diasorin spa via crescentino snc 13040 saluggia vc italy,liaison  igm ,779
diasorin spa via crescentino snc 13040 saluggia vc italy,liaison  s1s2 igg ,780
dna diagnostic, antigen detection ,164
dna technology research  production  russia 365 medical india, multiplex rteal time detection ,1304
dna xpertpvt  noida india,xperto 19 fast ,1305
dna xpertpvt  noida india,xperts o19 multiplex ,1306
dxgen corp,epithod  ag  ,261
dxgen corp,epithod qag  ,262
dynamiker biotechnology tianjin ,dynamiker ag rapid ,249
dynamiker biotechnology tianjin  no 14 building ecobusiness park 2018 zhongtian avenue sinosingapore tianjin eco city 300467 tianjin china,2019 iggigm rapid ,1100
e25bio, dart,195
eco diagnostica,flu ab ag combo eco e,225
edge pharma pvt  mumbai maharashtra india,edge xpress  ag  ,1247
edge pharma pvt  mumbai maharashtra india,edgexpress  ab detection iggigm,1179
edinburgh genetics limited,edinburgh genetics activxpress  antigen complete ing ,255
edinburgh genetics uk biopanda reagents uk,edinburgh genetics  colloidal gold immunoassay ing  igg  igm combined,1172
eiken chemical ,loopamp new coronavirus 2019 detection reagent ,385
elitechgroup spa,  elite mgb  ,981
elitechgroup spacorso svizzera 185 torino10149 italy,  elite mgb ,1019
ellume ,ellume  home ,258
emmo pharma,encode  rapid ,259
empowered diagnostics  united states of america,covclear  antigen ,142
enzo life sciences ,ampiprobe  assay ,41
equine biotech karnataka ebt pvt ,global  ,1307
erba mannheim group  transasia biomedical,erbaqik  ag rapid ,264
euroimmun ag,  antigen elisa,609
euroimmun medizinische labordiagnostika ag germany,eurorealtime  ,267
euroimmun medizinische labordiagnostika ag germany,eurorealtime 3,268
euroimmun medizinische labordiagnostika ag germany,eurorealtime 4,269
euroimmun medizinische labordiagnostika ag germany,eurorealtime 5,270
euroimmun medizinische labordiagnostika ag germany,eurorealtime 6,271
euroimmun medizinische labordiagnostika ag germany,eurorealtime 7,272
euroimmun uk cpc diagnostics pvt ,euro real time  ,1308
euroimmun us  usa,euroimmun anti  igg elisa,1189
excalibur health services,excalibur rapid antigen  card,273
fast track diagnostics luxembourg srl,fast track diagnostics ,957
fast track diagnostics luxembourg srl  29 rue henri koch l4354 eschsuralzette luxembourg,ftd  ,1016
fast track diagnostics luxembourg srl siemens healthineers company,ftd  ,"289,290"
fast track diagnostics luxembourg srl siemens healthineers company,ftd 3,291
floor 1 to floor 5 building 30 no6 of taikang road block of jianqiao industrial park dadukou district 400082 chongqing peoples republic of china,molaccu  detection ,1020
fluidigm corporation,advanta dx  assay,25
foracare suisse ag, antigen rapid ,171
fortress diagnostics ,coronavirus antigen rapid ,139
fujifilm corporation,acura seed antigen,23
fujifilm corporation,fuji dry chem immuno ag handy  ag,293
fujifilm corporation,fujifilm  ag ,294
fujifilm wako pure chemical corporation,accuraseed  ag,20
fujifilm wako pure chemical corporation,taswako  ,761
fujirebio ,espline  ,265
fujirebio ,espline  flu ab,266
fujirebio ,lumipulse   ag,388
fujirebio ,lumipulse ag,390
fujirebio ,lumipulse presto ag,389
ga generic assays gmbh,ga cov2 igg elisa,"1210,1211"
gadia diagnostics sa,ia antigen,227
gcc biotech india private limited,diagsure 19 detection assay taqman based,1309
gcc biotech india private limited,diagsuren 19 detection assay multiplex taqman,1310
genbio pharmaceutical , antigen lateral flow assay,168
genbody ,genbody fia  ag,298
genbody ,genbody influenza ag multi,299
genbody  korea  republic of,genbody  ag,297
genbody  south korea,genbody  ag rapid poct,1221
gencurix ,genepro ,307
gencurix 402 908 910 digitalroad 242 gorugo seoul 08394 republic of korea,genepro ,1013
gene path diagnostics pune india,genepathx one qpcr v211,1311
gene proof czech republic,gene proof ,1312
gene proof czech republic,gene proof screening ,1313
genedrive diagnostics,genedrive 96  genedrive  bio plate genedrive  fast plate genedrive  low profile,997
genedrive diagnostics limited uk,96 ,1314
genematrix,neoplex detection  ,968
genematrix ,neoplex  detection ,433
geneohm sciences canada  ta bd diagnostics,bd reagents  bd max system ,918
general biologicals corp,gb real time  pcr,296
general biologicals corporation taiwan,gb real time  orf1ab gene  ic,1315
genereach biotechnology corporation taiwan padmanabha labs pvt ,iq real qualitative system,1316
genes 2 me private limited,genes2me  flu one step ,1317
genes 2 me private limited,genes2me direct multiplex real time  ,1318
